title, artist, id, url, length
"My Summer of Love","Pawel Pawlikowski","383269670","https://itunes.apple.com/us/movie/my-summer-of-love/id383269670?uo=4",86
"Pass the Jar: Zac Brown Band and Friends - Live from the Fabulous Fox Theatre In Atlanta","Zac Brown Band","366938922","https://itunes.apple.com/us/movie/pass-jar-zac-brown-band-friends-live-from-fabulous/id366938922?uo=4",0
"Carole King & James Taylor: Live At the Troubadour","Carole King & James Taylor","373541842","https://itunes.apple.com/us/movie/carole-king-james-taylor-live-at-the-troubadour/id373541842?uo=4",76
"Stevie Nicks: Live In Chicago","Stevie Nicks","314561715","https://itunes.apple.com/us/movie/stevie-nicks-live-in-chicago/id314561715?uo=4",114
"Love in the Afternoon","Billy Wilder","278817739","https://itunes.apple.com/us/movie/love-in-the-afternoon/id278817739?uo=4",129
"Love Finds You in Sugarcreek","Terry Cunningham","907737238","https://itunes.apple.com/us/movie/love-finds-you-in-sugarcreek/id907737238?uo=4",91
"Jesus Christ Superstar - Live Arena Tour","Laurence Connor & Nick Morris","638785536","https://itunes.apple.com/us/movie/jesus-christ-superstar-live-arena-tour/id638785536?uo=4",104
"Where the Light Is: John Mayer Live in Los Angeles","John Mayer","656404262","https://itunes.apple.com/us/movie/where-the-light-is-john-mayer-live-in-los-angeles/id656404262?uo=4",152
"To Write Love On Her Arms","Nathan Frankowski","959225861","https://itunes.apple.com/us/movie/to-write-love-on-her-arms/id959225861?uo=4",102
"One Direction: Up All Night - The Live Tour","One Direction","610026614","https://itunes.apple.com/us/movie/one-direction-up-all-night-the-live-tour/id610026614?uo=4",84
"Whitney Cummings: I Love You","Marty Callner","888319619","https://itunes.apple.com/us/movie/whitney-cummings-i-love-you/id888319619?uo=4",55
"Muse: Live At Rome Olympic Stadium","Muse","739516948","https://itunes.apple.com/us/movie/muse-live-at-rome-olympic-stadium/id739516948?uo=4",116
"Sweet Summer Sun - Hyde Park Live","The Rolling Stones","720272314","https://itunes.apple.com/us/movie/sweet-summer-sun-hyde-park-live/id720272314?uo=4",117
"Martin Lawrence Live: Runteldat","David Raynr","272892532","https://itunes.apple.com/us/movie/martin-lawrence-live-runteldat/id272892532?uo=4",103
"Sade: Bring Me Home - Live 2011","Unknown","596913426","https://itunes.apple.com/us/movie/sade-bring-me-home-live-2011/id596913426?uo=4",151
"deadmau5: Live At Earl's Court","deadmau5","448569728","https://itunes.apple.com/us/movie/deadmau5-live-at-earls-court/id448569728?uo=4",121
"Hannibal Buress Live from Chicago","Marcus Raboy","843542038","https://itunes.apple.com/us/movie/hannibal-buress-live-from-chicago/id843542038?uo=4",66
"The Love Witch","Anna Biller","1180833713","https://itunes.apple.com/us/movie/the-love-witch/id1180833713?uo=4",120
